Drone_X,Drone_Y,Drone_Z,Mean_Error
0.0,-6.6,-0.72,5.337985637167704
0.0,-6.0,-0.72,4.126988670195931
0.0,-5.4,-0.72,2.9803480673314344
0.0,-4.8,-0.72,2.9327374211791004
0.0,-4.2,-0.72,1.0730205454570025
0.0,-3.6,-0.72,1.324795527815737
0.0,-3.0,-0.72,6.547317878767064
0.0,-2.4,-0.72,1.3683517000396959
0.0,-1.8,-0.72,1.3085434713650332
0.0,-1.2,-0.72,1.2328531646407386
0.0,-0.6,-0.72,0.9879802144193132
0.6,-6.6,-0.72,4.568241592150549
0.6,-6.0,-0.72,4.772252164915261
0.6,-5.4,-0.72,4.755201949376093
0.6,-4.8,-0.72,13.51737727142637
0.6,-4.2,-0.72,6.177720330667327
0.6,-3.6,-0.72,8.289335396240094
0.6,-3.0,-0.72,3.2381664182277374
0.6,-2.4,-0.72,1.6238531466565786
0.6,-1.8,-0.72,1.602154736614935
0.6,-1.2,-0.72,1.714908519575743
0.6,-0.6,-0.72,1.8441070018019408
1.2,-6.6,-0.72,5.606300887123699
1.2,-6.0,-0.72,5.661498375297518
1.2,-5.4,-0.72,3.1187130234103346
1.2,-4.8,-0.72,6.2623039940253955
1.2,-4.2,-0.72,10.682818506395602
1.2,-3.6,-0.72,6.411513083067845
1.2,-3.0,-0.72,2.9776905588203024
1.2,-2.4,-0.72,3.211544783163855
1.2,-1.8,-0.72,1.6517735523490773
1.2,-1.2,-0.72,1.5384458108885168
1.2,-0.6,-0.72,1.6060029109803118
1.8,-6.6,-0.72,5.653183656050766
1.8,-6.0,-0.72,5.230932816175128
1.8,-5.4,-0.72,2.012460251622764
1.8,-4.8,-0.72,1.4795112442987663
1.8,-4.2,-0.72,1.3576984412160735
1.8,-3.6,-0.72,1.4828394367970903
1.8,-3.0,-0.72,5.274419357313338
1.8,-2.4,-0.72,3.287970999982838
1.8,-1.8,-0.72,2.0217321233100938
1.8,-1.2,-0.72,1.5023138351918262
1.8,-0.6,-0.72,1.4888153733813176
2.4,-6.6,-0.72,1.538653304461907
2.4,-6.0,-0.72,2.491980278583084
2.4,-5.4,-0.72,3.8366189767588583
2.4,-4.8,-0.72,2.2852334809072596
2.4,-4.2,-0.72,3.332125417178267
2.4,-3.6,-0.72,2.2231629031688125
2.4,-3.0,-0.72,1.4908560561722568
2.4,-2.4,-0.72,1.5465437657226697
2.4,-1.8,-0.72,1.373999010820944
2.4,-1.2,-0.72,1.5523011653250132
2.4,-0.6,-0.72,1.586669240063759
3.0,-6.6,-0.72,6.330012241207388
3.0,-6.0,-0.72,3.253157235120324
3.0,-5.4,-0.72,1.9882994184195055
3.0,-4.8,-0.72,3.892335218389052
3.0,-4.2,-0.72,3.008974063365113
3.0,-3.6,-0.72,2.4197018076821473
3.0,-3.0,-0.72,1.4257515985278428
3.0,-2.4,-0.72,1.4772972479049755
3.0,-1.8,-0.72,1.7714307504518927
3.0,-1.2,-0.72,0.8485625116981649
3.0,-0.6,-0.72,0.9243698145813278
